antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,SemanticSimilarity,LLM_Explanation
"frozenset({'Chips', 'Popcorn'})","frozenset({'Namkeen', 'Chocolate', 'Cold Drink'})",0.0626,0.0362,0.021,0.3354632587859425,9.2669408504404,1.0,0.01873388,1.450333653846154,0.9516636695215744,0.2699228791773779,0.3105034849407994,0.4577868780117557,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Namkeen', 'Chocolate', 'Cold Drink'})","frozenset({'Chips', 'Popcorn'})",0.0362,0.0626,0.021,0.580110497237569,9.2669408504404,1.0,0.01873388,2.232492105263158,0.9255961027282876,0.2699228791773779,0.55207008452909,0.4577868780117557,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Chips', 'Namkeen'})","frozenset({'Cold Drink', 'Chocolate', 'Popcorn'})",0.0644,0.0356,0.021,0.3260869565217391,9.159745969711771,1.0,0.01870736,1.4310451612903226,0.9521447912213198,0.2658227848101266,0.3012100337222512,0.4579872984855886,0.216,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Cold Drink', 'Chocolate', 'Popcorn'})","frozenset({'Chips', 'Namkeen'})",0.0356,0.0644,0.021,0.5898876404494382,9.159745969711771,1.0,0.01870736,2.2813260273972604,0.9237107700815708,0.2658227848101266,0.5616584442597672,0.4579872984855886,0.216,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Namkeen', 'Popcorn'})","frozenset({'Chips', 'Chocolate', 'Cold Drink'})",0.0582,0.0398,0.021,0.3608247422680412,9.06594829819199,1.0,0.01868364,1.5022483870967742,0.94467736553105,0.2727272727272727,0.3343311208790265,0.4442314666114075,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Chips', 'Chocolate', 'Cold Drink'})","frozenset({'Namkeen', 'Popcorn'})",0.0398,0.0582,0.021,0.5276381909547738,9.065948298191987,1.0,0.01868364,1.993810638297872,0.9265748207218736,0.2727272727272727,0.4984478561847248,0.4442314666114075,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Chips', 'Chocolate'})","frozenset({'Namkeen', 'Cold Drink', 'Popcorn'})",0.0596,0.039,0.021,0.3523489932885906,9.034589571502323,1.0,0.0186756,1.483823834196891,0.9456766117761438,0.2706185567010309,0.3260655497279819,0.4454052658750645,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Chips', 'Namkeen', 'Chocolate'})","frozenset({'Cold Drink', 'Popcorn'})",0.039,0.0596,0.021,0.5384615384615385,9.034589571502323,1.0,0.0186756,2.0375333333333336,0.9254050839898914,0.2706185567010309,0.5092104832640776,0.4454052658750645,0.216,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Namkeen', 'Cold Drink', 'Popcorn'})","frozenset({'Chips', 'Chocolate'})",0.039,0.0596,0.021,0.5384615384615385,9.034589571502323,1.0,0.0186756,2.0375333333333336,0.9254050839898914,0.2706185567010309,0.5092104832640776,0.4454052658750645,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Cold Drink', 'Popcorn'})","frozenset({'Chips', 'Namkeen', 'Chocolate'})",0.0596,0.039,0.021,0.3523489932885906,9.034589571502323,1.0,0.0186756,1.483823834196891,0.9456766117761438,0.2706185567010309,0.3260655497279819,0.4454052658750645,0.216,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Chips', 'Chocolate', 'Popcorn'})","frozenset({'Namkeen', 'Cold Drink'})",0.038,0.062,0.021,0.5526315789473685,8.913412563667233,1.0,0.018644,2.0967058823529414,0.9228789228789228,0.2658227848101266,0.523061384805297,0.4456706281833617,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Namkeen', 'Cold Drink'})","frozenset({'Chips', 'Chocolate', 'Popcorn'})",0.062,0.038,0.021,0.3387096774193548,8.913412563667233,1.0,0.018644,1.4547317073170731,0.94649202964768,0.2658227848101266,0.3125880222654417,0.4456706281833617,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Chocolate', 'Cold Drink'})","frozenset({'Chips', 'Namkeen', 'Popcorn'})",0.057,0.0422,0.021,0.368421052631579,8.730356697430782,1.0,0.0185946,1.5165166666666667,0.938978942584457,0.268542199488491,0.340594124693651,0.4330256921925667,0.366,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Chips', 'Namkeen', 'Popcorn'})","frozenset({'Chocolate', 'Cold Drink'})",0.0422,0.057,0.021,0.4976303317535545,8.73035669743078,1.0,0.0185946,1.8771037735849057,0.9244697670256244,0.268542199488491,0.4672644027079051,0.4330256921925667,0.366,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Namkeen', 'Chocolate'})","frozenset({'Chips', 'Cold Drink', 'Popcorn'})",0.0546,0.0444,0.021,0.3846153846153846,8.662508662508662,1.0,0.01857576,1.5528499999999998,0.9356462872858048,0.2692307692307693,0.3560227967929935,0.4287941787941788,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Chips', 'Cold Drink', 'Popcorn'})","frozenset({'Namkeen', 'Chocolate'})",0.0444,0.0546,0.021,0.4729729729729729,8.662508662508662,1.0,0.01857576,1.7938358974358977,0.9256592716617832,0.2692307692307693,0.4425354061486915,0.4287941787941788,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Chips', 'Popcorn'})","frozenset({'Namkeen', 'Chocolate'})",0.0626,0.0546,0.0292,0.4664536741214057,8.543107584641131,1.0,0.02578204,1.7719173652694613,0.94191015078138,0.3318181818181818,0.4356395960666445,0.5006261044599702,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Namkeen', 'Chocolate'})","frozenset({'Chips', 'Popcorn'})",0.0546,0.0626,0.0292,0.5347985347985348,8.543107584641131,1.0,0.02578204,2.0150409448818896,0.9339396819784912,0.3318181818181818,0.5037321685497491,0.5006261044599702,0.206,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Chocolate', 'Popcorn'})","frozenset({'Chips', 'Namkeen', 'Cold Drink'})",0.0538,0.046,0.021,0.3903345724907063,8.485534184580573,1.0,0.0185252,1.5647926829268293,0.9323106964197644,0.266497461928934,0.360937707013319,0.4234281558105706,0.366,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
"frozenset({'Chips', 'Namkeen', 'Cold Drink'})","frozenset({'Chocolate', 'Popcorn'})",0.046,0.0538,0.021,0.4565217391304348,8.485534184580573,1.0,0.0185252,1.741008,0.924688030348408,0.266497461928934,0.4256201005394576,0.4234281558105706,0.366,This association rule suggests customers follow a consistent shopping pattern. Consider creating a product bundle to increase basket size.
